uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempShrubStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,remarks,recordedBy,measuredBy,dataQF
"e363dfa1-da43-4f36-934b-c62eb30a5972","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00202",,,"sapling","Live",1.3,10,0.9,,,,,,,,,,,,,,,"legacyData"
"acd17869-e19a-4430-8eb5-427c2e09cd8c","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00190",,,"sapling","Live",1.2,10,1.0,,,,,,,,,,,,,,,"legacyData"
"df9cdba0-13ea-411b-ac23-24de9faabf3b","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00212",,,"sapling","Live",1.3,10,1.2,,,,,,,,,,,,,,,"legacyData"
"683cf9fa-1843-40d5-8126-42156a3fa103","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00192",,,"sapling","Live",1.3,10,1.1,,,,,,,,,,,,,,,"legacyData"
"3a06de88-e2ca-43f7-a450-f6ced8d072ce","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00168",,,"sapling","Live",1.2,10,1.2,,,,,,,,,,,,,,,"legacyData"
"768f6441-b193-44f4-8815-9f70c9764f8c","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00206",,,"small shrub","Live",1.2,10,1.0,,,,0.6,0.5,,"inverted cone",,,0.46,0.43,,,,"legacyData"
"cb27f3cc-0cb8-4f01-87a7-390340269c7b","WOOD_012.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_012",,"NEON.PLA.D09.WOOD.00157",,,"sapling","Live",1.4,10,1.0,,,,,,,,,,,,,,,"legacyData"
"534b1272-39be-4fa5-bdd3-c0b4c54dc210","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00171",,,"sapling","Live",1.0,10,0.8,,,,,,,,,,,,,,,"legacyData"
"09785c4e-5fed-43bf-b02d-1e30c448ddc2","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00172",,,"sapling","Live",1.9,10,1.1,,,,,,,,,,,,,,,"legacyData"
"0df0740d-8342-4901-bd1a-122af66a27af","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00175",,,"sapling","Live",1.4,10,1.3,,,,,,,,,,,,,,,"legacyData"
"d1ba3730-1566-4205-b834-8f720db55715","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00180",,,"sapling","Live",1.2,10,1.2,,,,,,,,,,,,,,,"legacyData"
"1c89b751-14f5-4a0d-83d4-4e7f68d0919d","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00187",,,"sapling","Live",1.2,10,1.4,,,,,,,,,,,,,,,"legacyData"
"2f6b04c2-22fb-4d86-ae20-69d070cb1b14","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00176",,,"sapling","Live",1.8,10,1.4,,,,,,,,,,,,"No transcription error found.",,,"legacyData"
"980e17c3-8233-4166-9677-63a9e05cc59e","WOOD_012.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_012",,"NEON.PLA.D09.WOOD.00158",,,"sapling","Live",1.5,10,1.1,,,,,,,,,,,,,,,"legacyData"
"e697586b-69da-4c12-b101-074003f1d114","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00165",,,"sapling","Live",1.0,10,0.9,,,,,,,,,,,,,,,"legacyData"
"8dd54bce-a0c8-48f5-8c0a-cfe7c76f6196","WOOD_012.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_012",,"NEON.PLA.D09.WOOD.00154",,,"sapling","Live",1.0,10,1.2,,,,,,,,,,,,,,,"legacyData"
"c713f89e-9174-48e3-be06-95d5694f706d","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00184",,,"sapling","Live",1.7,10,0.9,,,,,,,,,,,,,,,"legacyData"
"2757f01d-28de-4e49-b3e5-e4a5e36618ae","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00182",,,"sapling","Live",1.2,10,1.0,,,,,,,,,,,,,,,"legacyData"
"19872c67-f476-48c1-8457-af3fb2b18bda","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00209",,,"small shrub","Live",1.6,10,1.1,,,,,,,,,,,,,,,"legacyData"
"276f160a-736b-40db-8cd0-0b195198022e","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00161",,,"small shrub","Live",1.2,10,1.0,,,,0.7,0.6,,"cylinder",,,,,,,,"legacyData"
"157448d2-8723-4d87-98a8-7673fc412d0d","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00162",,,"sapling","Live",1.2,10,1.0,,,,,,,,,,,,,,,"legacyData"
"c7d1cb2d-b6a8-47a7-bb4c-5eb0a1e000a6","WOOD_012.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_012",,"NEON.PLA.D09.WOOD.00159",,,"sapling","Standing dead",2.0,10,0.8,,,,,,,,,,,,,,,"legacyData"
"ba5d0db2-bd8f-41b2-908f-669b98e212c8","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00207",,,"small shrub","Live",2.2,10,1.5,,,,0.8,0.8,,"inverted cone",,,0.65,0.37,,,,"legacyData"
"7414c51b-f955-47dc-9b25-643f44d6e879","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00213",,,"sapling","Live",2.9,10,1.3,,,,,,,,,,,,,,,"legacyData"
"cfed3098-ad60-424f-be75-690bf83724d6","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00204",,,"sapling","Live",1.4,10,1.0,,,,,,,,,,,,,,,"legacyData"
"ae3641c8-b6fb-4196-9f54-3fec646964aa","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00216",,,"sapling","Live",1.7,10,1.3,,,,,,,,,,,,,,,"legacyData"
"2744ef7c-69c2-46cc-be57-574fcff79996","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00164",,,"sapling","Live",1.1,10,0.7,,,,,,,,,,,,,,,"legacyData"
"3efe2183-3e18-483c-8f1b-505775ea0724","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00194",,,"sapling","Live",1.2,10,1.2,,,,,,,,,,,,,,,"legacyData"
"76515042-ebc3-448c-985c-26d710bf7e88","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00179",,,"sapling","Live",1.4,10,1.2,,,,,,,,,,,,,,,"legacyData"
"3fd0f40c-24b6-4829-bea2-80d974a8605f","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00199",,,"sapling","Live",1.4,10,1.1,,,,,,,,,,,,,,,"legacyData"
"fc21112e-c062-4fc4-a4d9-aa91ac469994","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00191",,,"sapling","Live",1.5,10,1.2,,,,,,,,,,,,"No transcription error found.",,,"legacyData"
"a7c55376-51cb-4cce-a2c0-074dcabc0358","WOOD_012.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_012",,"NEON.PLA.D09.WOOD.00155",,,"sapling","Standing dead",1.0,10,0.3,,,,,,,,,,,,"No transctiption errors found",,,"legacyData"
"206dec8b-ed5a-4f58-aeb5-7e59af1d9da3","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00185",,,"sapling","Live",1.5,10,1.4,,,,,,,,,,,,,,,"legacyData"
"fbe7abba-4c57-47aa-a2b8-a227d0b3fae8","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00170",,,"sapling","Live",1.7,10,1.0,,,,,,,,,,,,,,,"legacyData"
"31850533-b0d8-4cec-bb57-16059064dca8","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00173",,,"sapling","Live",1.3,10,0.6,,,,,,,,,,,,,,,"legacyData"
"d375ca93-4ca4-418d-a388-9ef376b97074","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00210",,,"sapling","Standing dead",1.9,10,0.5,,,,,,,,,,,,,,,"legacyData"
"8565fca5-89a8-4be8-adf9-c71ca0c4981c","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00214",,,"sapling","Standing dead",1.9,10,0.7,,,,,,,,,,,,,,,"legacyData"
"bd866ad2-27bd-464a-9743-cf2f5dd443cc","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00215",,,"small shrub","Live",1.3,10,1.2,,,,0.8,0.6,,"inverted cone",,,0.35,0.23,,,,"legacyData"
"52b0c34e-95ac-49fb-88e8-157615c2b0aa","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00198",,,"sapling","Live",1.6,10,1.3,,,,,,,,,,,,,,,"legacyData"
"93cdd5c0-b123-469e-9fa0-90509113a4d7","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00203",,,"sapling","Live",1.4,10,1.3,,,,,,,,,,,,,,,"legacyData"
"e6315b58-834d-45ec-b1cf-1c76521dda74","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00196",,,"sapling","Live",1.6,10,1.1,,,,,,,,,,,,,,,"legacyData"
"d25fb109-4784-4481-b51f-8d8eacfb3739","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00183",,,"sapling","Live",1.7,10,1.3,,,,,,,,,,,,,,,"legacyData"
"ea1700e4-404c-4da9-9936-45c1a79ccb04","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00186",,,"sapling","Live",1.4,10,1.0,,,,,,,,,,,,,,,"legacyData"
"726d4a6c-90e6-4757-a541-dd3e13ab3671","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00163",,,"sapling","Live",1.3,10,1.1,,,,,,,,,,,,,,,"legacyData"
"0e71e679-40ee-40cf-89fb-51dedcc93204","WOOD_012.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_012",,"NEON.PLA.D09.WOOD.00156",,,"sapling","Standing dead",1.9,10,0.6,,,,,,,,,,,,,,,"legacyData"
