uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempShrubStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,remarks,recordedBy,measuredBy,dataQF
"d6028361-4f10-44f0-9dac-d15d6d57be89","ONAQ_057.basePlot.vst","2019-10-09","vst_ONAQ_2019","D15","ONAQ","ONAQ_057",,"NEON.PLA.D15.ONAQ.02207",,"ok","small shrub","Live",,,0.9,0.3,,,0.8,0.6,,"ellipsoid or sphere",1.4,10,,,,"0000-0001-5523-6326","0000-0002-4801-9849",
"d3e3ac07-b91c-4bde-923d-5aea4bf6b5d7","ONAQ_057.basePlot.vst","2019-10-09","vst_ONAQ_2019","D15","ONAQ","ONAQ_057",,"NEON.PLA.D15.ONAQ.02166",,"ok","small shrub","Live",,,0.8,,,,0.9,0.6,,"half-sphere",3.3,10,,,,"0000-0001-5523-6326","0000-0002-4801-9849",
"61c44d57-8141-4789-bc6c-053f91530b27","ONAQ_057.basePlot.vst","2019-10-09","vst_ONAQ_2019","D15","ONAQ","ONAQ_057",,"NEON.PLA.D15.ONAQ.02175",,"ok","small shrub","Live",,,1.3,,,,1.4,1.2,,"oblate half-sphere",1.6,10,,,,"0000-0001-5523-6326","0000-0002-4801-9849",
"ce55fc28-eb7f-4c3b-8449-8406b0230637","ONAQ_057.basePlot.vst","2019-10-09","vst_ONAQ_2019","D15","ONAQ","ONAQ_057",,"NEON.PLA.D15.ONAQ.02191",,"ok",,"No longer qualifies",,,,,,,,,,,,,,,"Downsized nested to 1.73","0000-0001-5523-6326","0000-0002-4801-9849",
"f38c61fc-f5a3-4a87-99bb-2c4682536d69","ONAQ_057.basePlot.vst","2019-10-09","vst_ONAQ_2019","D15","ONAQ","ONAQ_057",,"NEON.PLA.D15.ONAQ.02206",,"ok","small shrub","Live",,,0.8,0.3,,,0.6,0.5,,"ellipsoid or sphere",5.0,10,,,,"0000-0001-5523-6326","0000-0002-4801-9849",
"e05c4e23-35cb-4943-a734-5db1ab71a7fa","ONAQ_057.basePlot.vst","2019-10-09","vst_ONAQ_2019","D15","ONAQ","ONAQ_057",,"NEON.PLA.D15.ONAQ.02209",,"ok",,"No longer qualifies",,,,,,,,,,,,,,,"Downsized nested to 1.73","0000-0001-5523-6326","0000-0002-4801-9849",
"c26b5f2e-07d1-4a86-9e82-9571c2a34ffd","ONAQ_057.basePlot.vst","2019-10-09","vst_ONAQ_2019","D15","ONAQ","ONAQ_057",,"NEON.PLA.D15.ONAQ.02175",,"ok","small shrub","Live",,,1.3,,,,1.4,1.2,,"oblate half-sphere",1.6,10,,,,"0000-0001-5523-6326","0000-0002-4801-9849",
"522e56d7-2016-42ab-a415-86486bee38b0","ONAQ_057.basePlot.vst","2019-10-09","vst_ONAQ_2019","D15","ONAQ","ONAQ_057",,"NEON.PLA.D15.ONAQ.02176",,"ok","small shrub","Standing dead",,,0.7,,,,0.8,0.5,,"half-sphere",1.8,10,,,"Unknown cause of death","0000-0001-5523-6326","0000-0002-4801-9849",
"ad63c07f-0f07-455d-b8a3-0ad9e9c7d409","ONAQ_057.basePlot.vst","2019-10-09","vst_ONAQ_2019","D15","ONAQ","ONAQ_057",,"NEON.PLA.D15.ONAQ.02145",,"ok",,"No longer qualifies",,,,,,,,,,,,,,,"Downsized nested to 1.73","0000-0001-5523-6326","0000-0002-4801-9849",
"29a09d10-b1bf-44a8-b5f9-a12da5b7ec24","ONAQ_057.basePlot.vst","2019-10-09","vst_ONAQ_2019","D15","ONAQ","ONAQ_057",,"NEON.PLA.D15.ONAQ.02140",,"ok",,"No longer qualifies",,,,,,,,,,,,,,,"Downsized nested to 1.73","0000-0001-5523-6326","0000-0002-4801-9849",
"646fa8b2-c536-4a97-b5b7-ad420bdbeea9","ONAQ_057.basePlot.vst","2019-10-09","vst_ONAQ_2019","D15","ONAQ","ONAQ_057",,"NEON.PLA.D15.ONAQ.02178",,"ok",,"No longer qualifies",,,,,,,,,,,,,,,"Downsized nested to 1.73","0000-0001-5523-6326","0000-0002-4801-9849",
"6b92e1a4-a60f-4acf-9f7e-28db6f72c61f","ONAQ_057.basePlot.vst","2019-10-09","vst_ONAQ_2019","D15","ONAQ","ONAQ_057",,"NEON.PLA.D15.ONAQ.02194",,"ok",,"No longer qualifies",,,,,,,,,,,,,,,"Downsized nested to 1.73","0000-0001-5523-6326","0000-0002-4801-9849",
"c5f11b07-fec0-41f3-abc5-1ff9af9bbb32","ONAQ_057.basePlot.vst","2019-10-09","vst_ONAQ_2019","D15","ONAQ","ONAQ_057",,"NEON.PLA.D15.ONAQ.02220",,"ok",,"No longer qualifies",,,,,,,,,,,,,,,"Downsized nested to 1.73","0000-0001-5523-6326","0000-0002-4801-9849",
